item.id,german,bulgarian,partOfSpeech,currentCategories,proposedCategories,ambiguityFlag,notes,reviewer,reviewStatus,batchId
"a1_final_018","Sand","Пясък","phrase","uncategorized",,,,,,
"a1_adj_053","krumm, schief","Криви","phrase","uncategorized",,,,,,
"wie_geht_s","Wie geht's?","Как си?","phrase","everyday-phrases",,,,,,
"a1_adj_054","weich","Мек","phrase","uncategorized",,,,,,
"a1_noun_035","das Restaurant","Ресторант","phrase","uncategorized",,,,,,
"a1_verb_077","kommen (perfektiv)","Дойда","phrase","uncategorized",,,,,,
"geld","Geld","Пари","phrase","uncategorized",,,,,,
"leben","leben","Живея","verb","uncategorized",,,,,,
"a1_adj_029","schnell","Бърз","phrase","uncategorized",,,,,,
"a1_verb_070","können, dürfen","Мога","phrase","uncategorized",,,,,,
"a1_verb_010","lesen","Чета","phrase","uncategorized",,,,,,
"a1_verb_061","fortsetzen, weitermachen","Продължавам","phrase","uncategorized",,,,,,
"keiner","keiner","Никой","adjective","uncategorized",,,,,,
"a1_final_008","Ende","Край","phrase","uncategorized",,,,,,
"a1_verb_021_dup1","verkaufen","Продавам","phrase","uncategorized",,,,,,
"a1_adj_023","teuer, lieb","Скъп","phrase","uncategorized",,,,,,
"a1_verb_067","sprechen, sich unterhalten","Разговарям","phrase","uncategorized",,,,,,
"a1_verb_040","kommen","Идвам","phrase","uncategorized",,,,,,
"a1_verb_039","gehen, fahren (weggehen)","Отивам","phrase","uncategorized",,,,,,
"a1_final_014","Feuer","Огън","phrase","uncategorized",,,,,,
"a1_verb_069","wollen, möchten","Искам","phrase","uncategorized",,,,,,
"a1_adj_022_dup1","warm","Топъл","phrase","uncategorized",,,,,,
"a1_adverb_003_dup1","gut","Добре","phrase","uncategorized",,,,,,
"a1_verb_050_dup1","verstehen","Разбирам","phrase","uncategorized",,,,,,
"a1_final_002","Fehler","Грешка","phrase","uncategorized",,,,,,
"a1_adverb_009","oft","Често","phrase","uncategorized",,,,,,
"a1_verb_085","sprechen, reden","Говоря","phrase","uncategorized",,,,,,
"a1_verb_009","hören / zuhören","Слушам","phrase","uncategorized",,,,,,
"rabatt","Rabatt","Отстъпка","phrase","uncategorized",,,,,,
"a1_verb_007","machen / tun","Правя","phrase","uncategorized",,,,,,
"a1_adj_008","groß","Голям","phrase","uncategorized",,,,,,
"a1_food_013","die Milch","Мляко","phrase","uncategorized",,,,,,
"a1_adj_039","durstig","Жаден","phrase","uncategorized",,,,,,
"a1_verb_044","tragen, anhaben","Нося","phrase","uncategorized",,,,,,
"a1_adj_052","gerade, richtig","Прав","phrase","uncategorized",,,,,,
"a1_final_040","Idee","Идея","phrase","uncategorized",,,,,,
"a1_final_015_dup1","Wasser","Вода","phrase","uncategorized",,,,,,
"sein","sein","Съм","verb","uncategorized",,,,,,
"rechnung","Rechnung","Сметка","phrase","uncategorized",,,,,,
"a1_verb_086","hören, zuhören","Слушам","phrase","uncategorized",,,,,,
"a1_verb_059","bekommen, erhalten","Получавам","phrase","uncategorized",,,,,,
"a1_adj_021","kalt","Студен","phrase","uncategorized",,,,,,
"a1_verb_064","fahren (lenken)","Карам","phrase","uncategorized",,,,,,
"a1_verb_010_dup1","lesen","Чета","phrase","uncategorized",,,,,,
"a1_adj_005_dup1","schlecht","Лош","phrase","uncategorized",,,,,,
"a1_adj_036","wütend, böse","Сърдит","phrase","uncategorized",,,,,,
"a1_adj_025","reich","Богат","phrase","uncategorized",,,,,,
"a1_adj_046","sauber, rein","Чист","phrase","uncategorized",,,,,,
"a1_adj_016","schön, hübsch, nett","Хубав","phrase","uncategorized",,,,,,
"a1_verb_003_dup1","trinken","Пия","phrase","uncategorized",,,,,,
"a1_adverb_004","schlecht","Лошо","phrase","uncategorized",,,,,,
"machen","machen","Правя","verb","uncategorized",,,,,,
"a1_verb_087","sehen","Виждам","phrase","uncategorized",,,,,,
